"Sentiment","Review"
"Positive","This is a great book: I must preface this by saying that I am not religious - but I loved this book. I really enjoyed the story it was telling. To me this is more a story about where we come from as women, rather than some religious/biblical treatise. Reading this book you can really feel a connection with the character Dinah and the writer brings to life her world with colorful vividness. This book has an almost feminist feeling and to my great amusement paints Jacob as a villainous man who personifies most of the worst qualities one can have. This story sucked me in and I read it practically in one sitting. It was one of the best books I have read in a while."
"Negative","Huge Disappointment.: As a big time, long term Trevanian fan, I was extremely disappointed in this ""experiment"" by the author. I deem this effort an experiment since it is so unlike anything ""Trev"" (as his fans call him) has ever written before. Plain flat-out boring! It's almost as if Jane Austen had attempted to write a Twilight Zone episode under the influence of Sominex."
"Positive","Wayne is tight but cant hang with Turk.: This album is hot as it wants to be. However Cash Moneys best album ever is Turks Young and Thuggin. So better luck next time Wayne"
"Positive","Excellent: I read this book when I was in elementary school- probably fourth grade. I read a lot of books, but this one stuck with me and I still consider it to be one of my favorites. I just recently remembered the title (after seeing crows out my window) and may have to buy myself a copy."
"Negative","Not about Anusara: Although this book is touted on several Anusara web sites as a book about Anusara, I found it to be more about self-loathing and a poor body image. From cover to cover, the author rehashed her, and other's, disfunctions and poor self-esteem related to a poor body image and eating disorders.Now, if you fall into any of the afore mentioned catagories, you may find this book for you. If not, it's a waste of time. (I too have looked in the mirror during a yoga session and thought, jeez, I'm going to have to not eat for the next month...., but I didn't dwell on it. And I don't consider a new pedicure when gazing at my feet in down dog.)My truly, heart felt advice to those of you whom this book will speak to is, spend less time on the mat and more in meditation, until you get your mind under control. I am saddened for anyone who is their own worst enemy. Life is too short.Yoga, and all it's attendant traditions, are so much more. Let it be so for you."
"Negative","Worst DVD Ever purchased: This was the very worst DVD that I have ever purchased. The technical quality was so bad that Fisher's features were unrecognizable. Musical tone production was simply atrocious. I could go on and on but really do not feel like wasting any more time on this piece of crap. Why does Amazon even put something this bad on the market for sale? I would really, really like my $$$ back, Amazon. Your faithful customers deserve far, far better from you. The back of the DVD cover says it all: ""THIS DVD IS NOT ENDORSED BY EDDIE FISHER."" Only five copies left?? If you have any mercy on your customers and you care about preserving your reputation as a reputable dealer of halfway marketable products, you will withdraw them immediately. To sell something this horrible is, in my opinion, disreputable and a disgrace to your reputation."
"Positive","Not the strongest fan, but gets the job done.: I wasn't sure if I should upgrade and spend $80 on a nice window fan, so I decided to risk it and go for something a little more low budget. This isn't the strongest fan in the world, but it does suck enough air in from outside to cool my bedroom down. Not super noisy or difficult to use. For the price, I'm pretty happy with my purchase."
"Negative","Bottom of the casebook barrel: At the beginning of this, my first year of law school, I didn't think too much about my actual casebooks. After a couple months, I began to think more about their layout, the organization, case notes, questions, indexes, etc. I began to have favorites, and some that I was less fond of. But until I saw this casebook, I didn't realize casebooks could be so awful. This casebook is badly in need or further organization, better headings, a better table of contents, better editing - in short, all of the details that make or break a casebook.Just to be clear, I am reviewing the second edition, published in 2009. I have also seen the first edition, and the best I can say is that this is, in fact, a significant improvement over the first attempt. But it has a long way to go before any 1L is going to be happy with it."
"Positive","Hilarious!: This movie is very sweet, I love it. And it's so funny, omigod! My favorite part is when Joy finds her mother feeding her *pet* chicken, and she goes, ""Ma! Ya fed the chicken chicken?"""
"Negative","The swinging, sadly, occurs only in the title.: Sad to say, Jason and his sidemen do not swing on this disk, and one might deduce from its quality that they don't swing anywhere else, either. Their stated ethic is admirable. But the good words don't stand in for good playing, and there is precious little of that on this album. The pianist plays passably, however."
"Positive","Planets: My son loves it! A hint of hanging this product, tie the line to the thumbnails first, than put them up."
